route_id,num_stops,nn_time_seconds,nn_violations,algo_time_seconds,algo_violations,actual_time_seconds,actual_violations,algo_passes_run
RouteID_2d6c8044-549c-4075-916c-2e670b830206,134,22856.0,0,22777.1,0,23566.4,0,2
RouteID_d79263ec-054c-43cf-a287-ff4b87e61093,176,22587.6,0,22374.4,0,22554.1,0,3
RouteID_f0f5a443-0919-4ed2-9d23-050b99628523,151,26561.1,4,25851.2,0,26287.8,0,4
RouteID_323dd1dc-2e5f-47b6-8de8-eecd0e227994,166,31841.3,0,31063.9,0,30569.1,0,3
RouteID_f11ba600-40e9-471f-b82a-4a06e8b2d6b2,113,24985.9,3,23798.5,0,24721.8,0,5
RouteID_ed877132-c6d3-423b-a51f-7fb8173382e0,168,27340.3,10,27752.3,0,27038.7,0,4
RouteID_613148fd-77b8-4388-b27e-d8c81fee04d7,153,22963.9,0,21586.6,0,21773.9,0,5
RouteID_3d5cd4fb-0ed2-4373-88d0-812749fc7115,164,29991.1,0,29268.5,0,29516.2,0,3
RouteID_fa28d5cb-94e1-4cbc-8e9a-3b6c8ad140a6,119,24351.4,3,24430.3,0,24225.7,0,3
RouteID_d6192137-6ba2-4baf-bb6f-e53a18acea66,152,28694.1,3,29277.9,0,28716.3,2,3
RouteID_076973fd-9546-45a5-838a-0aa166a917b7,169,28739.2,5,28802.0,0,28124.7,5,7
RouteID_47a640a0-19b4-4a82-b675-00da3fd29b3d,166,25394.5,0,25004.2,0,25368.2,0,3
RouteID_9a004aa7-847f-4155-8311-0bce7f78d5f6,167,21314.2,0,20262.0,0,20692.3,0,4
RouteID_f53f895d-3c73-4798-b787-9890b7dcb23b,144,26070.9,0,25492.8,0,26044.9,0,4
RouteID_416921e2-b706-47e7-9de8-c2ada3fea9b7,103,24364.1,0,23740.4,0,23738.6,0,4
RouteID_ab0a7f31-7a53-4d67-a703-34c52c547e5c,140,24804.6,5,24487.2,0,24783.7,1,5
RouteID_2e7a1943-f40a-4fe8-8010-d65d1db15238,146,24578.4,0,23946.7,0,24475.3,0,3
RouteID_b4d140c5-f4c1-4b23-b030-2e6935d75fe3,153,28847.9,1,28933.3,0,28803.6,0,4
RouteID_ffbcdf1c-5631-488a-9b30-0e704fde8a3e,82,24902.2,1,25795.0,0,24752.3,0,4
RouteID_3a8b6456-85f1-4e74-a336-88497f784c21,181,24677.6,1,24049.9,0,24568.4,1,4
RouteID_48274e67-29e0-4db7-8f67-eb2d2c3465a0,118,27631.8,3,26519.6,0,27536.8,0,5
RouteID_1e46b24c-0893-46f4-9caa-9f6ab4ce433b,125,27939.4,0,27088.9,0,27622.6,0,4
RouteID_bf773baa-ccea-4eff-bce7-53e9a47cd865,200,30168.2,6,31009.2,0,30663.7,2,7
RouteID_668dd483-512e-4436-bd5b-867e552b4785,184,28457.2,0,27453.7,0,26126.1,1,3
RouteID_3c4d3348-5a44-4aad-bafc-15d5da9168e3,166,25457.1,0,24619.9,0,24942.5,0,4
RouteID_888e84e7-7cbd-4989-8b92-2764bf8c03dd,133,21948.9,0,21173.1,0,21944.9,0,4
RouteID_e591d351-e929-4e76-afae-36fa6b0134f2,124,26601.1,0,26149.3,0,27447.9,0,3
RouteID_6c77b160-2e73-43d6-98f3-70b5c18668ad,150,25559.3,0,24089.2,0,26550.3,0,3
RouteID_0e796e1f-cab0-46b2-96f7-c0d0c1b90ac7,180,22951.9,0,22393.9,0,22607.0,0,3
RouteID_bfb962d0-05a1-4956-9058-5e71dc3e8d9f,164,30964.8,0,28535.8,0,30836.8,5,4
RouteID_024a44ee-5a90-48d3-8f80-d8e7b124971e,163,26939.1,0,26442.6,0,28089.1,0,3
RouteID_55ed19dc-8677-4292-ab02-bc90551676cb,117,23431.6,2,23363.2,0,23879.7,0,6
RouteID_3f074f11-dc47-4fff-a9bd-a4f73350bd41,155,28094.4,1,25946.1,0,27932.6,1,6
RouteID_a07c7bda-a497-46ca-ad43-551f0112dfa7,157,30239.5,11,29958.8,0,29855.2,3,6
RouteID_f6af8b0b-d87c-46e0-9b96-b575abc2db6d,149,23040.0,0,22543.2,0,22268.9,0,3
RouteID_3ed5fdae-234b-4580-881e-79992a69a246,105,21768.1,0,21293.2,0,23643.4,0,5
RouteID_bde6f14d-6311-4769-af26-72e4f503f64c,146,27459.9,7,27888.0,0,27002.2,0,5
RouteID_039e2075-2a3b-44d7-8662-0a60043e278f,189,32184.2,0,31544.9,0,32382.9,0,4
RouteID_755d294e-5b17-46e3-ab86-b6ea607a0eff,129,25548.5,0,25160.6,0,25381.7,0,4
RouteID_e1b509f1-465c-4788-9735-3c20f8ba399a,156,28901.5,1,28028.8,0,28451.2,3,3
RouteID_4b2c6211-0573-4c7e-840d-c2e8b1db468f,120,26188.3,0,24944.6,0,25625.1,0,5
RouteID_610c9755-db00-4dd3-b12b-8dd855b5d60b,122,26169.7,2,25151.1,0,26081.3,0,4
RouteID_1a6fb97c-0be1-475a-bbf6-766a0e1b7e63,183,31130.3,3,31896.4,1,31323.8,1,5
RouteID_e4f60dc4-86c9-4918-9fd3-e63b03ff87c1,110,29293.5,0,28181.9,0,28713.2,0,4
RouteID_62c365e7-19c8-4cf7-901a-09f8ad23f293,135,25832.3,3,25434.2,0,24527.1,0,3
RouteID_5ce60f73-3fe6-4933-a6c9-a92c1513cadc,138,24686.4,6,29128.2,0,27077.6,1,4
RouteID_9e04820b-0e25-4871-9902-92116859bd40,151,28861.5,1,27782.0,0,27446.4,0,5
RouteID_254c845f-d944-4ebc-ac96-3995d7c819c9,157,29266.3,1,28850.6,0,28032.7,3,3
RouteID_74a4e7c2-d7a3-4f47-a6f1-a2d4cd38ef3c,74,22182.8,0,21252.5,0,22266.5,0,3
RouteID_d104342c-b0f8-41a1-aa4e-d0e1a06bdf84,169,22093.3,0,21960.7,0,23719.3,0,3
RouteID_83c70eeb-fd15-40a7-9c40-c2b5e1106163,130,24342.1,0,23183.4,0,23438.6,0,3
RouteID_1492199d-9760-4e63-af2b-25176190b8a8,173,27603.9,1,26808.2,0,27576.0,0,4
RouteID_333da0a1-00da-4a38-8bc8-0887b764497a,172,26761.3,1,26309.5,0,27903.5,0,4
RouteID_0331580a-3797-418d-b347-61cc4547235e,123,30393.2,27,31702.3,0,30867.9,2,4
RouteID_c0599e4f-4911-4efa-85f1-75ee9b060429,163,28477.9,2,28733.1,0,28889.6,0,5
RouteID_c2b5350b-e571-4009-ad6b-21b60e158bce,125,30714.6,4,30804.6,0,30458.5,0,5
RouteID_2aa72e48-3ca8-43e3-8fb5-b1a625f920c0,100,26047.4,2,24136.0,0,24593.8,0,6
RouteID_743d07a3-2d21-4650-ac0a-ab67069a9a5e,161,30656.7,0,29178.1,0,30298.4,0,5
RouteID_8b47d67a-ee07-4774-8cea-2764431e479f,106,27131.4,0,25310.3,0,27529.1,0,4
RouteID_34628b01-eb42-4008-a0b5-9e91d7261485,138,25536.8,1,24016.0,0,24582.8,1,4
RouteID_af480955-6e35-447d-9506-96a6998e2fce,159,30225.8,0,28616.0,0,29367.8,2,6
RouteID_3df50218-258c-45cf-804d-79accb01c249,151,30399.7,15,29361.8,0,30356.3,2,4
RouteID_0aef75fe-d9d0-4dd9-b44b-b6af0ff26b52,149,29049.1,2,27642.0,0,27802.8,0,4
RouteID_2a58ebbc-9f25-4389-bcc3-96c14515b07e,175,28718.2,0,27727.0,0,27859.1,0,4
RouteID_dae0189c-596e-4530-80f8-2ad493bfc75d,179,34466.0,0,31585.3,0,32866.8,0,8
RouteID_3705a456-1cd9-49de-9651-bed8bf6ae7e9,119,19618.9,0,18783.8,0,20085.0,0,3
RouteID_00575ca4-8a63-49d2-96c8-9b347be5ba6c,59,20935.7,1,19217.2,0,21060.3,0,6
RouteID_bbe190c2-ff7a-436d-9230-a002271ee3e4,115,20885.6,0,19173.3,0,21361.4,0,3
RouteID_2782d7fe-fb2c-4dae-bf2f-f4b9374c7cd0,144,21336.2,0,21330.5,0,21720.7,0,2
RouteID_54642494-039b-4edb-b54e-b3c939ea3462,140,24962.8,0,24761.9,0,24500.2,0,2
RouteID_72e32b69-0cd1-4ca9-b784-e5c0ee6b89ca,132,25281.2,10,25483.7,0,25427.6,0,5
RouteID_e9384028-2356-4ee6-b0c7-330c4847b64a,88,19283.7,0,19156.3,0,19236.9,0,3
RouteID_96d031ae-6ad3-41ba-b40d-c33d5d977209,103,28555.5,4,33078.7,0,28837.0,0,5
RouteID_2ed85545-6d09-4efb-b07d-e964dc0c2ba8,141,23815.1,1,23501.5,0,23513.2,0,4
RouteID_13101816-1841-421f-bb0a-bc271df18f66,167,29458.2,0,28468.8,0,29906.8,0,4
RouteID_85204302-9e49-4dd2-8efc-d04f7c822fdc,166,21726.6,0,20750.9,0,22102.7,0,4
RouteID_4ec52062-78b9-444a-8899-8f46ddef050e,168,31586.3,0,30334.0,0,29934.4,0,5
RouteID_4cb01a85-ffa0-45e6-b3c0-0d3dfd3374cd,66,24634.9,0,24022.9,0,25284.9,0,3
RouteID_a72f412a-aa64-4069-9f1a-8b0f61c2c474,164,33619.6,0,30436.0,0,32155.5,0,6
RouteID_d1d479bb-73b5-4723-9e79-cff3c0bcbe40,174,28959.2,3,28198.7,0,28704.3,0,5
